"Team","RPG","STEINRPG","RALLOWPG","STEINRALLOWPG","PYTH_STEIN"
"Oregon St. (Pac-12)",4.6,4.581947377,2.3,2.549906153,0.763530725883571
"Pacific (WCC)",2.25,2.465348737,5.75,5.657253092,0.159599586872477
"Penn (Ivy League)",2.2,2.420314724,3.4,3.540654452,0.318466525209717
"Penn St. (Big Ten)",2.67,2.843634452,4.555555556,4.581440545,0.278109003965203
"Pittsburgh (ACC)",3.11,3.239933771,9.888888889,9.385068662,0.106487359356511
"Portland St. (Big Sky)",3.89,3.942464384,4.666666667,4.68151613,0.414927486204398
"Prairie View (SWAC)",4.89,4.843144656,4.888888889,4.881667302,0.496038788031035
"Presbyterian (Big South)",3.67,3.744314724,7.666666667,7.383556947,0.204560054406925
"Princeton (Ivy League)",2.56,2.744559622,9.555555556,9.084841905,0.0836334158748386
"Providence (Big East)",2.8,2.960722887,4,4.081062615,0.344828942111239
"Purdue (Big Ten)",6.08,5.91495418,4.5,4.531402752,0.630160262561894
"Purdue Fort Wayne (Summit League)",3.5,3.591199078,4.7,4.711538806,0.367476773434507
"Quinnipiac (MAAC)",3.3,3.411063023,4.6,4.621470779,0.352657531817274
"Radford (Big South)",5.3,5.212423567,2.8,3.000246289,0.751139910425379
"Rhode Island (Atlantic 10)",3.2,3.320994996,5.8,5.702287105,0.253277896056032
"Rider (MAAC)",0.55,0.934192275,8.181818182,7.847543754,0.0139731332436624
"Robert Morris (NEC)",3.13,3.257947377,5.25,5.206912956,0.281349071478297
"Rutgers (Big Ten)",5.2,5.12235554,4.7,4.711538806,0.541702809823715
"Sacramento St. (Big Sky)",5.78,5.644750098,6.222222222,6.082574331,0.462718278679371
"Sacred Heart (NEC)",4.4,4.401811322,4.933333333,4.921697536,0.44441204829726
"Saint Francis (PA) (NEC)",5.44,5.338518805,3.444444444,3.580684686,0.689715249340008
"Saint Joseph's (Atlantic 10)",3.85,3.906437173,3.230769231,3.388231637,0.5706822393571
"Saint Louis (Atlantic 10)",2.11,2.339253499,5.888888889,5.782347574,0.140643469252167
"Saint Mary's (CA) (WCC)",2.64,2.816614044,7.272727273,7.028743506,0.138364004815957
"Saint Peter's (MAAC)",2.64,2.816614044,7.090909091,6.864983457,0.144081466772521
"Sam Houston St. (Southland)",2.6,2.780586833,3.6,3.720790507,0.358346440364595
"Samford (SoCon)",2.64,2.816614044,4.545454545,4.572342763,0.275083759514978
"San Diego (WCC)",3,3.140858942,7.727272727,7.438143629,0.151324547791332
"San Diego St. (MWC)",3.67,3.744314724,5,4.981742888,0.360987108227504
"San Jose St. (MWC)",3.6,3.681267105,4.9,4.89167486,0.361570208419887
"Santa Clara (WCC)",3.58,3.663253499,5.75,5.657253092,0.295426300949046
"Savannah St. (MEAC)",2,2.240178669,6.875,6.670518398,0.101352719633219
"Seattle U (WAC)",7.1,6.833648057,3.9,3.990994588,0.745667318455646
"Seton Hall (Big East)",4.11,4.140614044,6.222222222,6.082574331,0.316659146917303
"SFA (Southland)",4.4,4.401811322,2.7,2.910178262,0.695847977973273
"Siena (MAAC)",3.33,3.438083431,7.75,7.458613636,0.175243642988197
"SIUE (OVC)",5.1,5.032287513,5.2,5.161878942,0.487289741578515
"South Alabama (Sun Belt)",5.38,5.284477989,4.375,4.418817717,0.588508579249663
"South Carolina (SEC)",6.11,5.941974588,3.333333333,3.4806091,0.7445338469564
"South Carolina St. (MEAC)",0.88,1.231416765,8.125,7.796368738,0.0243401808552453
"South Dakota (Summit League)",7.9,7.554192275,4.6,4.621470779,0.727659350904534
"South Dakota St. (Summit League)",5.9,5.752831731,4.4,4.441334724,0.626557037006336
"South Fla. (AAC)",2.3,2.510382751,3.8,3.900926561,0.292855079816666
"Southeast Mo. St. (OVC)",6.4,6.203171867,3.6,3.720790507,0.735410486735433
"Southeastern La. (Southland)",5.25,5.167389554,3.666666667,3.780835858,0.651319677119345
"Southern Ill. (MVC)",6.33,6.140124248,3.777777778,3.880911444,0.714542615364326
"Southern Miss. (C-USA)",6,5.842899758,2.6,2.820110235,0.811058457774905
"Southern U. (SWAC)",2.13,2.357267105,5.375,5.31949799,0.164138548978523
"Southern Utah (Big Sky)",3,3.140858942,7.75,7.458613636,0.150620008981282
"St. Bonaventure (Atlantic 10)",2,2.240178669,7.5,7.233443568,0.0875183754041027
"St. John's (NY) (Big East)",3,3.140858942,5.444444444,5.38204523,0.254046813466424
"Stanford (Pac-12)",5.5,5.392559622,2.75,2.955212275,0.769040158909536
"Stetson (ASUN)",2.64,2.816614044,6.181818182,6.046183209,0.178318223984922
"Stony Brook (America East)",3.57,3.654246697,6.428571429,6.268428991,0.253643886735626
"Syracuse (ACC)",3.88,3.933457581,5.125,5.094327922,0.373503026496769
"Tennessee (SEC)",7.5,7.193920166,1.8,2.099566017,0.921507740795096
"Tennessee St. (OVC)",4.15,4.176641254,5.615384615,5.53600767,0.36273052143284
"Tennessee Tech (OVC)",4.75,4.717049418,6.125,5.995008194,0.382373187621811
"Texas (Big 12)",6.5,6.293239894,1.75,2.054532003,0.903684921513529
"Texas A&M (SEC)",6.73,6.500396357,2.545454545,2.770982219,0.846228620315255
"Texas Southern (SWAC)",1.5,1.789838533,4.875,4.869157854,0.119035960341461
"Texas St. (Sun Belt)",6.88,6.635498397,3.625,3.743307513,0.758583349293191
"Texas Tech (Big 12)",6.5,6.293239894,2.3,2.549906153,0.858979397135566
"Toledo (MAC)",4.11,4.140614044,5.222222222,5.181894059,0.389681055437241
"Towson (CAA)",5,4.942219486,4.5,4.531402752,0.54328288052799
"Troy (Sun Belt)",5.2,5.12235554,3.2,3.360518398,0.699104732019371
"Tulsa (AAC)",3.7,3.771335132,4.6,4.621470779,0.399735373707628
"UAB (C-USA)",6.5,6.293239894,7.3,7.053307513,0.443235463550946
"UC Davis (Big West)",6.75,6.518409962,3.625,3.743307513,0.752002649752619
"UC Riverside (Big West)",3.3,3.411063023,7.4,7.143375541,0.185680869048109
"UC Santa Barbara (Big West)",4,4.041539214,3.875,3.968477581,0.509120524564118
"UCF (AAC)",3.38,3.483117445,3.875,3.968477581,0.435140106790084
"UCLA (Pac-12)",7.89,7.545185472,1,1.379021799,0.967675474596106
"UConn (AAC)",3.38,3.483117445,4,4.081062615,0.421441331574051
"UIC (Horizon)",4.8,4.762083431,9.1,8.674532003,0.231579796323039
"UMass Lowell (America East)",3.7,3.771335132,4.6,4.621470779,0.399735373707628
"UMBC (America East)",4,4.041539214,3.25,3.405552411,0.584782353993289
"UMES (MEAC)",2,2.240178669,9.625,9.147389146,0.0565816151150491
"UMKC (WAC)",6.2,6.023035812,1.5,1.829361935,0.915540955820327
"UNC Greensboro (SoCon)",4.1,4.131607241,5.5,5.432083024,0.366488186214496
"UNCW (CAA)",6,5.842899758,6.2,6.062559214,0.481555964638622
"UNI (MVC)",4.89,4.843144656,5.111111111,5.081818473,0.475966069690954
"UNLV (MWC)",6.8,6.563443976,2.4,2.63997418,0.8607451367573
"USC Upstate (Big South)",5.27,5.185403159,1.454545455,1.788421923,0.893692692024803
"UT Arlington (Sun Belt)",5.3,5.212423567,2.9,3.090314316,0.739918352478462
"UT Martin (OVC)",6.4,6.203171867,3.3,3.450586425,0.763692827982388
"Utah (Pac-12)",4,4.041539214,6,5.88242316,0.320671770876132
"Utah St. (MWC)",4.5,4.49187935,6.9,6.693035405,0.310540713469943
"Utah Valley (WAC)",5.3,5.212423567,5.8,5.702287105,0.455209185064336
"UTEP (C-USA)",6,5.842899758,11.11111111,10.48590011,0.236925738747641
"UTSA (C-USA)",2.5,2.690518805,3.7,3.810858534,0.332646189899139
"Valparaiso (MVC)",3.67,3.744314724,5.666666667,5.582196403,0.310306365202118
"Villanova (Big East)",4,4.041539214,5.6,5.522151051,0.348807816682652
"Virginia (ACC)",4.33,4.338763703,4.444444444,4.481364958,0.483836518150524
"Virginia Tech (ACC)",8.56,8.148641254,1.222222222,1.579172971,0.963802622169097
"Wagner (NEC)",4.33,4.338763703,8.5,8.13412384,0.221498142856357
"Washington (Pac-12)",5.22,5.140369146,2,2.279702071,0.835642954068031
"Weber St. (Big Sky)",3.5,3.591199078,8.3,7.953987786,0.169331211271312
"Western Caro. (SoCon)",3.5,3.591199078,5.611111111,5.532158609,0.296465958036258
"Western Ill. (Summit League)",4.38,4.383797717,4.125,4.193647649,0.52215772377844
"Western Ky. (C-USA)",4.63,4.608967785,3.25,3.405552411,0.646843602050296
"Western Mich. (MAC)",3.67,3.744314724,4.722222222,4.731553923,0.385082594808336
"Wichita St. (AAC)",6.4,6.203171867,3.2,3.360518398,0.773105612651168
"Winthrop (Big South)",5.6,5.482627649,5.5,5.432083024,0.504630772414349
"Wisconsin (Big Ten)",8.13,7.761348737,1.5,1.829361935,0.947368721198462
"Wright St. (Horizon)",4.89,4.843144656,7.666666667,7.383556947,0.300822864126564
"Yale (Ivy League)",3.82,3.879416765,3.636363636,3.753542516,0.516486400917935
"Youngstown St. (Horizon)",1.09,1.420559622,5.636363636,5.55490306,0.0613838317020671
